 INFO  Accepting connections at http://localhost:8080
 HTTP  6/5/2026 10:58:47 PM ::1 GET /index.html
 HTTP  6/5/2026 10:58:47 PM ::1 Returned 301 in 357 ms
 HTTP  6/5/2026 10:58:47 PM ::1 GET /index
 HTTP  6/5/2026 10:58:47 PM ::1 Returned 301 in 1 ms
 HTTP  6/5/2026 10:58:47 PM ::1 GET /
 HTTP  6/5/2026 10:58:47 PM ::1 Returned 200 in 14 ms
 HTTP  6/5/2026 10:58:47 PM ::1 GET /styles/theme.css
 HTTP  6/5/2026 10:58:47 PM ::1 Returned 200 in 2 ms
 HTTP  6/5/2026 10:58:47 PM ::1 GET /styles/main.css
 HTTP  6/5/2026 10:58:47 PM ::1 GET /styles/layout.css
 HTTP  6/5/2026 10:58:47 PM ::1 GET /styles/components.css
 HTTP  6/5/2026 10:58:47 PM ::1 GET /js/app.js
 HTTP  6/5/2026 10:58:47 PM ::1 Returned 200 in 8 ms
 HTTP  6/5/2026 10:58:47 PM ::1 Returned 200 in 9 ms
 HTTP  6/5/2026 10:58:47 PM ::1 Returned 200 in 9 ms
 HTTP  6/5/2026 10:58:47 PM ::1 Returned 200 in 11 ms
 HTTP  6/5/2026 10:58:48 PM ::1 GET /patternOutQ.html
 HTTP  6/5/2026 10:58:48 PM ::1 Returned 301 in 1 ms
 HTTP  6/5/2026 10:58:48 PM ::1 GET /patternINQ.html
 HTTP  6/5/2026 10:58:48 PM ::1 Returned 301 in 1 ms
 HTTP  6/5/2026 10:58:48 PM ::1 GET /patternOutQ
 HTTP  6/5/2026 10:58:48 PM ::1 Returned 200 in 2 ms
 HTTP  6/5/2026 10:58:48 PM ::1 GET /cadShot.html
 HTTP  6/5/2026 10:58:48 PM ::1 Returned 301 in 2 ms
 HTTP  6/5/2026 10:58:48 PM ::1 GET /PatterNestQ.html
 HTTP  6/5/2026 10:58:48 PM ::1 Returned 301 in 1 ms
 HTTP  6/5/2026 10:58:48 PM ::1 GET /patternINQ
 HTTP  6/5/2026 10:58:48 PM ::1 GET /cadShot
 HTTP  6/5/2026 10:58:48 PM ::1 Returned 200 in 4 ms
 HTTP  6/5/2026 10:58:48 PM ::1 GET /PatterNestQ
 HTTP  6/5/2026 10:58:48 PM ::1 Returned 200 in 3 ms
 HTTP  6/5/2026 10:58:48 PM ::1 Returned 200 in 9 ms
 HTTP  6/5/2026 10:58:48 PM ::1 GET /js/modules/geometry.js
 HTTP  6/5/2026 10:58:48 PM ::1 GET /js/modules/parsers.js
 HTTP  6/5/2026 10:58:48 PM ::1 Returned 200 in 6 ms
 HTTP  6/5/2026 10:58:48 PM ::1 GET /js/modules/nesting-engine.js
 HTTP  6/5/2026 10:58:48 PM ::1 GET /js/modules/export.js
 HTTP  6/5/2026 10:58:48 PM ::1 GET /js/modules/canvas-renderer.js
 HTTP  6/5/2026 10:58:48 PM ::1 Returned 200 in 7 ms
 HTTP  6/5/2026 10:58:48 PM ::1 Returned 200 in 5 ms
 HTTP  6/5/2026 10:58:48 PM ::1 Returned 200 in 6 ms
 HTTP  6/5/2026 10:58:48 PM ::1 Returned 200 in 4 ms
 HTTP  6/5/2026 10:58:48 PM ::1 GET /js/modules/hide-detector.js
 HTTP  6/5/2026 10:58:48 PM ::1 Returned 200 in 3 ms
 HTTP  6/5/2026 10:58:48 PM ::1 GET /js/modules/data-bridge.js
 HTTP  6/5/2026 10:58:48 PM ::1 GET /js/modules/pattern-library.js
 HTTP  6/5/2026 10:58:48 PM ::1 GET /js/modules/digitizer.js
 HTTP  6/5/2026 10:58:48 PM ::1 GET /js/modules/checkout.js
 HTTP  6/5/2026 10:58:48 PM ::1 GET /js/modules/keyboard-shortcuts.js
 HTTP  6/5/2026 10:58:48 PM ::1 Returned 200 in 16 ms
 HTTP  6/5/2026 10:58:48 PM ::1 Returned 200 in 16 ms
 HTTP  6/5/2026 10:58:48 PM ::1 Returned 200 in 21 ms
 HTTP  6/5/2026 10:58:48 PM ::1 Returned 200 in 22 ms
 HTTP  6/5/2026 10:58:48 PM ::1 Returned 200 in 25 ms
 HTTP  6/5/2026 10:58:48 PM ::1 GET /js/modules/collision-engine.js
 HTTP  6/5/2026 10:58:48 PM ::1 Returned 200 in 5 ms
 HTTP  6/5/2026 10:58:49 PM ::1 GET /js/modules/pattern-library.js
 HTTP  6/5/2026 10:58:49 PM ::1 Returned 304 in 4 ms
 HTTP  6/5/2026 10:58:49 PM ::1 GET /js/vendor/crypto-js.mjs
 HTTP  6/5/2026 10:58:49 PM ::1 Returned 200 in 2 ms
 HTTP  6/5/2026 10:58:49 PM ::1 GET /js/modules/digitizer.js
 HTTP  6/5/2026 10:58:49 PM ::1 Returned 304 in 2 ms
 HTTP  6/5/2026 10:58:49 PM ::1 HEAD /patternINQ
 HTTP  6/5/2026 10:58:49 PM ::1 HEAD /patternOutQ
 HTTP  6/5/2026 10:58:49 PM ::1 Returned 304 in 5 ms
 HTTP  6/5/2026 10:58:49 PM ::1 Returned 304 in 4 ms
 HTTP  6/5/2026 10:58:49 PM ::1 GET /js/modules/geometry.js
 HTTP  6/5/2026 10:58:49 PM ::1 Returned 304 in 1 ms
 HTTP  6/5/2026 10:58:49 PM ::1 GET /js/modules/geometry.js
 HTTP  6/5/2026 10:58:49 PM ::1 GET /js/modules/hide-detector.js
 HTTP  6/5/2026 10:58:49 PM ::1 GET /js/vendor/crypto-js.mjs
 HTTP  6/5/2026 10:58:49 PM ::1 GET /js/modules/data-bridge.js
 HTTP  6/5/2026 10:58:49 PM ::1 HEAD /patternOutQ
 HTTP  6/5/2026 10:58:49 PM ::1 Returned 304 in 2 ms
 HTTP  6/5/2026 10:58:49 PM ::1 Returned 304 in 3 ms
 HTTP  6/5/2026 10:58:49 PM ::1 Returned 304 in 2 ms
 HTTP  6/5/2026 10:58:49 PM ::1 Returned 304 in 2 ms
 HTTP  6/5/2026 10:58:49 PM ::1 Returned 304 in 3 ms
 HTTP  6/5/2026 10:58:49 PM ::1 HEAD /patternINQ
 HTTP  6/5/2026 10:58:49 PM ::1 Returned 304 in 3 ms
